,datetime,team1,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,chances1,chances2,moves1,moves2,group,matchday
0,2016-09-13 14:45:00+00:00,Barcelona,Celtic,BAR,CEL,g,7,0,6.772,0.0,3.822,0.785,3.875,0.053,,
1,2016-09-13 14:45:00+00:00,Bayern Munich,Rostov,BMU,ROS,g,5,0,4.737,0.0,3.312,0.209,2.255,0.857,,
2,2016-09-13 14:45:00+00:00,Dynamo Kiev,Napoli,KIEV,NAP,g,1,2,1.05,2.1,0.459,1.425,0.481,0.644,,
3,2016-09-13 14:45:00+00:00,Benfica,Besiktas,BEN,BES,g,1,1,1.05,1.05,1.449,0.716,1.169,1.024,,
4,2016-09-13 14:45:00+00:00,Paris Saint-Germain,Arsenal,PSG,ARS,g,1,1,1.05,1.05,2.592,0.719,1.807,2.302,,
5,2016-09-13 14:45:00+00:00,Basel,Ludogorets,BAS,LUD,g,1,1,1.05,1.05,0.807,0.492,1.24,0.384,,
6,2016-09-13 14:45:00+00:00,PSV,Atletico Madrid,PSV,ATL,g,0,1,0.0,1.05,1.384,1.234,1.8290000000000002,1.8050000000000002,,
7,2016-09-14 14:45:00+00:00,Club Brugge,Leicester City,CBKV,LEI,g,0,3,0.0,3.15,0.875,2.163,1.156,1.055,,
8,2016-09-14 14:45:00+00:00,Tottenham Hotspur,AS Monaco,TOT,MON,g,1,2,1.05,2.1,1.22,0.783,1.349,0.41600000000000004,,
9,2016-09-14 14:45:00+00:00,Manchester City,Borussia Monchengladbach,MNC,MGB,g,4,0,3.4939999999999998,0.0,4.828,0.218,2.71,1.244,,
10,2016-09-14 14:45:00+00:00,Juventus,Sevilla FC,JUV,SEV,g,0,0,0.0,0.0,1.4020000000000001,0.07099999999999901,2.111,0.247,,
11,2016-09-14 14:45:00+00:00,Legia Warsaw,Borussia Dortmund,WAR,DOR,g,0,6,0.0,5.732,0.322,5.9879999999999995,1.005,3.128,,
12,2016-09-14 14:45:00+00:00,Real Madrid,Sporting CP,MAD,SCP,g,2,1,2.1,1.05,1.5939999999999999,0.305,1.149,0.636,,
13,2016-09-14 14:45:00+00:00,Bayer Leverkusen,CSKA Moscow,LEV,CSKA,g,2,2,2.1,2.1,1.381,0.9450000000000001,2.206,1.605,,
14,2016-09-14 14:45:00+00:00,FC Porto,FC Copenhagen,POR,COP,g,1,1,1.05,1.05,0.431,0.5669999999999991,1.492,0.802,,
15,2016-09-14 14:45:00+00:00,Lyon,Dinamo Zagreb,LYON,DIN,g,3,0,3.15,0.0,1.5779999999999998,1.433,1.755,1.186,,
16,2016-09-27 14:45:00+00:00,Dinamo Zagreb,Juventus,DIN,JUV,g,0,4,0.0,3.817,0.137,1.887,0.17,2.075,,
17,2016-09-27 14:45:00+00:00,FC Copenhagen,Club Brugge,COP,CBKV,g,4,0,3.675,0.0,2.122,0.28,1.756,0.508,,
18,2016-09-27 14:45:00+00:00,Leicester City,FC Porto,LEI,POR,g,1,0,1.05,0.0,0.746,0.63,0.8270000000000001,1.155,,
19,2016-09-27 14:45:00+00:00,Borussia Dortmund,Real Madrid,DOR,MAD,g,2,2,2.1,2.1,1.834,2.599,1.745,1.662,,
20,2016-09-27 14:45:00+00:00,Sporting CP,Legia Warsaw,SCP,WAR,g,2,0,2.1,0.0,1.9649999999999999,0.23900000000000002,2.126,0.558,,
21,2016-09-27 14:45:00+00:00,CSKA Moscow,Tottenham Hotspur,CSKA,TOT,g,0,1,0.0,1.05,0.456,1.893,1.1440000000000001,2.424,,
22,2016-09-27 14:45:00+00:00,AS Monaco,Bayer Leverkusen,MON,LEV,g,1,1,1.05,1.05,0.309,0.888,1.105,0.644,,
23,2016-09-27 14:45:00+00:00,Sevilla FC,Lyon,SEV,LYON,g,1,0,1.05,0.0,3.242,0.657,1.737,1.362,,
24,2016-09-28 14:45:00+00:00,Arsenal,Basel,ARS,BAS,g,2,0,2.1,0.0,2.797,0.618,3.055,0.8250000000000001,,
25,2016-09-28 14:45:00+00:00,Celtic,Manchester City,CEL,MNC,g,3,3,3.15,3.15,0.9440000000000001,2.243,0.762,2.005,,
26,2016-09-28 14:45:00+00:00,Napoli,Benfica,NAP,BEN,g,4,2,4.2,2.1,2.66,1.537,1.151,0.634,,
27,2016-09-28 14:45:00+00:00,Atletico Madrid,Bayern Munich,ATL,BMU,g,1,0,1.05,0.0,1.843,0.984,1.149,1.876,,
28,2016-09-28 14:45:00+00:00,Borussia Monchengladbach,Barcelona,MGB,BAR,g,1,2,1.05,2.1,0.855,1.4849999999999999,0.784,2.156,,
29,2016-09-28 14:45:00+00:00,Besiktas,Dynamo Kiev,BES,KIEV,g,1,1,1.05,1.05,0.706,1.1280000000000001,0.81,0.74,,
30,2016-09-28 14:45:00+00:00,Rostov,PSV,ROS,PSV,g,2,2,2.1,2.1,0.737,1.875,1.484,2.201,,
